id,ean,name,type,food_type,brand,product_origin,supplier,top_category,top_category_id,category_path,size,unit_of_measure,increment_by,min_order,max_order,price,currency,formatted_price,min_buying_value,stock_status,stock_qty,is_available,availability_max,seller,seller_type,shipping,is_marketplace,is_express,is_bulk,is_scalable,is_fbc,preorder,has_promo
238940,6164003405621,Beecare Naturals Peanuts Roasted and Salted Peeled 25G,FOOD,DRY,,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Nuts, Dates & Dried Fruits/Nuts & Seeds/Peanuts",25g,pieces,1,1,10,30,KES,KES30.00,30.00,lowStock,8,True,8,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
190872,8033844980049,Novi Butter Beans 400g,FOOD,DRY,NOVI,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Tins, Jars & Packets/Canned Vegetables&#39;/Baked Beans",400g,pieces,1,1,10,249,KES,KES249.00,249.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
134149,6164001063748,Kudos Cassava And Chilli Chips 100G,FOOD,DRY,KUDOS,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Chips, Dips & Snacks/Chips",100g,pieces,1,1,10,105,KES,KES105.00,105.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
66561,8901719908262,Parle-G Original Glucose Biscuits 382.5g,FOOD,DRY,PARLE,India,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Biscuits, Crackers & Cakes/Digestives & Assorted Biscuits/Assorted & Tins",382.5g,pieces,1,1,10,190,KES,KES190.00,190.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
213092,6161100914483,Tropical Heat B Ch Lemon Crisps200G,FOOD,DRY,TROPICAL HEAT,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Chips, Dips & Snacks/Chips, Dips & Snacks",,pieces,1,1,10,300,KES,KES300.00,300.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
202093,6224007719091,Giardino Tomato Ketchup 5L,FOOD,DRY,Giardino,Egypt,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Sauces & Condiments/Ketchup",5L,pieces,1,1,10,1495,KES,KES1495.00,1495.00,lowStock,3,True,3,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
98944,8295665195,De Nigris Raw Unfiltered Pomegranate Vinegar 500ml,FOOD,DRY,DE NIGRIS,United States,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Salad Dressings & Vinaigrettes/Special Vinegars",500ml,pieces,1,1,10,900,KES,KES900.00,900.00,lowStock,1,True,1,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
35550,5413121350032,The Belgian Seashells Chocolate 250G,FOOD,DRY,BELGIAN,,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Chocolate & Confectionery/Chocolates/Tablet Chocolates,250g,pieces,1,1,10,2099,KES,KES2099.00,2099.00,lowStock,8,True,8,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
135704,6164004732153,Kaputei Dressing Honey Mustard Sauce 250G,FOOD,DRY,KAPUTEI,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Salad Dressings & Vinaigrettes/Salad Dressings",250g,pieces,1,1,10,219,KES,KES219.00,219.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
16061,6164000066665,Festival Chocolate Essence 50ml,FOOD,DRY,FESTIVAL FOOD,Kenya,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Sugar & Home Baking/Baking Ingredients/Food Colouring & Essences,50ml,pieces,1,1,10,90,KES,KES90.00,90.00,lowStock,3,True,3,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
